Task,Similar_task,Centroids_distance,Amount_of_architectures,Ranking_architectures,Recommended_architecture_rank,Architecture[recommended],Architecture[best],Architecture[worst],Accuracy_avg[recommended],Accuracy_avg[best],Accuracy_avg[worst],Precision_Avg[recommended],Precision_Avg[best],Precision_Avg[worst],Recall_Avg[recommended],Recall_Avg[best],Recall_Avg[worst],F1_avg[recommended],F1_avg[best],F1_avg[worst]
automobile-frog,frog-truck,0.06846153922379017,6,"MiniGoogLeNet1, MiniVGG3, ResNet10, AlexNet1, SmallSqueezeNet, MiniVGG1",2nd,MiniVGG3,MiniGoogLeNet1,MiniVGG1,0.9742,0.98375,0.9514,0.954739614641,0.9761029250609999,0.913927646577,0.992,0.9834,0.9955,0.9747855425599999,0.9837292347669999,0.9537285396259999
automobile-horse,horse-truck,0.06500433944165707,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.98805,0.98805,0.9349,0.979809075599,0.979809075599,0.9056747269582416,0.9933,0.9933,0.9697,0.9881255684370001,0.9881255684370001,0.9403329845744128
automobile-ship,airplane-automobile,0.05208728089928627,6,"MiniGoogLeNet1, AlexNet1, MiniVGG3, ResNet10, MiniVGG1, SmallSqueezeNet",5th,MiniVGG1,MiniGoogLeNet1,SmallSqueezeNet,0.92335,0.9671,0.87485,0.874840415608,0.952866166776,0.8462677003687696,0.9755,0.9646,0.8993,0.927396835136,0.967007868337,0.8827559942619324
automobile-truck,automobile-horse,0.10795757919549942,6,"MiniVGG3, AlexNet1, MiniGoogLeNet1, ResNet10, MiniVGG1, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.91975,0.91975,0.7339,0.875661516083,0.875661516083,0.7010356281327258,0.9619,0.9619,0.7066000000000001,0.92390772801,0.92390772801,0.6830718620944697
bird-cat,cat-deer,0.03552187420427799,6,"MiniVGG3, MiniGoogLeNet1, AlexNet1, MiniVGG1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.86835,0.86835,0.7195,0.8217541705779999,0.8217541705779999,0.6581571029837581,0.8637,0.8637,0.7816000000000001,0.867331154426,0.867331154426,0.7317310733467317
bird-deer,bird-cat,0.05137309059500694,6,"MiniVGG1, MiniVGG3, MiniGoogLeNet1, AlexNet1, ResNet10, SmallSqueezeNet",2nd,MiniVGG3,MiniVGG1,SmallSqueezeNet,0.8859,0.89615,0.70515,0.832302177413,0.839719841476,0.6530472665426709,0.9324,0.9525,0.7719,0.8916685728239999,0.9018277034700001,0.7199143345659983
bird-dog,deer-dog,0.03472142945975065,6,"MiniVGG1, MiniVGG3, AlexNet1, MiniGoogLeNet1, ResNet10, SmallSqueezeNet",2nd,MiniVGG3,MiniVGG1,SmallSqueezeNet,0.8879,0.8974,0.75085,0.8507647602609999,0.853868043172,0.6906222413145469,0.8725,0.9122,0.8391,0.884584983097,0.8985483578460001,0.7701457025459457
bird-frog,deer-frog,0.036984097212553024,6,"AlexNet1, MiniGoogLeNet1, MiniVGG3, MiniVGG1, ResNet10, SmallSqueezeNet",3rd,MiniVGG3,AlexNet1,SmallSqueezeNet,0.8885,0.9081,0.8411000000000002,0.835995431534,0.859134867476,0.8030232909201258,0.9581,0.9475,0.7971999999999999,0.8986817661229999,0.911644885783,0.8292492955121347
bird-horse,deer-horse,0.033573053777217865,6,"MiniVGG3, AlexNet1, MiniVGG1, MiniGoogLeNet1, ResNet10, SmallSqueezeNet",1st,MiniVGG3,MiniVGG3,SmallSqueezeNet,0.92165,0.92165,0.8143500000000001,0.896499529093,0.896499529093,0.7656989913184586,0.9023,0.9023,0.8687999999999999,0.919310257578,0.919310257578,0.8281650341054835
bird-ship,deer-ship,0.03660155087709427,6,"MiniVGG3, AlexNet1, MiniGoogLeNet1, MiniVGG1, ResNet10, SmallSqueezeNet",3rd,MiniGoogLeNet1,MiniVGG3,SmallSqueezeNet,0.9618,0.96505,0.92745,0.9478955425200001,0.955027343193,0.9011212917532784,0.9538,0.9512,0.9252,0.961250346009,0.9644897600799999,0.9268344272378444
